Title,ReleaseDate,Genre,Decade,Studio,Rating,Budget,BoxOffice,Runtime
The Dark Knight,2008-07-18,Action,2000s,Warner Bros,9.0,185,1006,152
Inception,2010-07-16,Sci-Fi,2010s,Warner Bros,8.8,160,837,148
Interstellar,2014-11-07,Sci-Fi,2010s,Paramount,8.6,165,701,169
The Avengers,2012-05-04,Action,2010s,Disney,8.0,220,1519,143
Titanic,1997-12-19,Drama,1990s,Paramount,7.9,200,2202,195
Jurassic Park,1993-06-11,Sci-Fi,1990s,Universal,8.2,63,1046,127
The Lion King,1994-06-24,Animation,1990s,Disney,8.5,45,1084,88
Forrest Gump,1994-07-06,Drama,1990s,Paramount,8.8,55,678,142
Pulp Fiction,1994-10-14,Crime,1990s,Miramax,8.9,8,214,154
The Matrix,1999-03-31,Sci-Fi,1990s,Warner Bros,8.7,63,467,136
Gladiator,2000-05-05,Action,2000s,DreamWorks,8.5,103,465,155
Finding Nemo,2003-05-30,Animation,2000s,Disney,8.2,94,941,100
The Incredibles,2004-11-05,Animation,2000s,Disney,8.0,92,633,115
Spider-Man,2002-05-03,Action,2000s,Sony,7.4,139,825,121
Avatar,2009-12-18,Sci-Fi,2000s,Fox,7.9,237,2923,162
Frozen,2013-11-27,Animation,2010s,Disney,7.4,150,1280,102
Black Panther,2018-02-16,Action,2010s,Disney,7.3,200,1348,134
Joker,2019-10-04,Crime,2010s,Warner Bros,8.4,55,1074,122
Parasite,2019-05-30,Drama,2010s,CJ Ent,8.5,11,263,132
Get Out,2017-02-24,Horror,2010s,Universal,7.7,5,255,104
The Godfather,1972-03-24,Crime,1970s,Paramount,9.2,6,287,175
Jaws,1975-06-20,Horror,1970s,Universal,8.0,7,476,124
Star Wars,1977-05-25,Sci-Fi,1970s,Fox,8.6,11,775,121
Rocky,1976-11-21,Drama,1970s,United Artists,8.1,1,225,120
Alien,1979-05-25,Sci-Fi,1970s,Fox,8.5,11,203,117
E.T.,1982-06-11,Sci-Fi,1980s,Universal,7.9,10,793,115
Back to the Future,1985-07-03,Sci-Fi,1980s,Universal,8.5,19,389,116
Die Hard,1988-07-15,Action,1980s,Fox,8.2,28,140,132
Rain Man,1988-12-16,Drama,1980s,MGM,8.0,25,412,133
Batman,1989-06-23,Action,1980s,Warner Bros,7.5,35,411,126
Dune,2021-10-22,Sci-Fi,2020s,Warner Bros,8.0,165,434,155
Top Gun Maverick,2022-05-27,Action,2020s,Paramount,8.2,170,1496,130
Oppenheimer,2023-07-21,Drama,2020s,Universal,8.4,100,952,180
Barbie,2023-07-21,Comedy,2020s,Warner Bros,7.0,145,1442,114
Spider-Verse,2023-06-02,Animation,2020s,Sony,8.4,100,691,140
