OrderID,OrderDate,Region,State,Segment,ShipMode,Category,SubCategory,Quantity,UnitPrice,Discount,Sales,Profit
ORD-2022-1001,2022-01-03,West,Oregon,Consumer,Standard Class,Technology,Machines,6,472.56,0.00,2410.06,90.31
ORD-2022-1001,2022-01-03,West,Oregon,Consumer,Standard Class,Furniture,Tables,6,356.70,0.10,1637.25,-344.05
ORD-2022-1002,2022-01-07,East,Massachusetts,Consumer,Standard Class,Office Supplies,Appliances,4,252.65,0.00,859.01,64.34
ORD-2022-1003,2022-01-11,West,Oregon,Consumer,First Class,Office Supplies,Appliances,1,481.54,0.40,245.59,-54.29
ORD-2022-1004,2022-01-15,Central,Texas,Home Office,Standard Class,Technology,Phones,6,223.01,0.00,1137.35,182.21
ORD-2022-1004,2022-01-15,Central,Texas,Home Office,Standard Class,Technology,Copiers,1,1537.03,0.20,1045.18,7.98
ORD-2022-1004,2022-01-15,Central,Texas,Home Office,Standard Class,Furniture,Furnishings,6,164.97,0.20,673.08,-31.51
ORD-2022-1005,2022-01-19,South,Virginia,Corporate,First Class,Office Supplies,Paper,2,41.27,0.00,70.16,23.11
ORD-2022-1005,2022-01-19,South,Virginia,Corporate,First Class,Office Supplies,Binders,2,23.79,0.00,40.44,9.76
ORD-2022-1006,2022-01-23,East,Pennsylvania,Consumer,Standard Class,Office Supplies,Paper,7,41.40,0.10,221.70,50.35
ORD-2022-1006,2022-01-23,East,Pennsylvania,Consumer,Standard Class,Technology,Phones,5,853.93,0.20,2903.36,-122.99
ORD-2022-1007,2022-01-27,East,Massachusetts,Consumer,First Class,Office Supplies,Appliances,4,41.91,0.15,121.12,-0.99
ORD-2022-1007,2022-01-27,East,Massachusetts,Consumer,First Class,Office Supplies,Binders,4,54.17,0.30,128.92,4.72
ORD-2022-1007,2022-01-27,East,Massachusetts,Consumer,First Class,Technology,Accessories,2,117.36,0.30,139.66,-4.39
ORD-2022-1008,2022-01-31,West,California,Consumer,Standard Class,Office Supplies,Paper,3,12.72,0.00,32.44,10.02
ORD-2022-1009,2022-02-04,West,California,Corporate,Second Class,Technology,Machines,3,1149.09,0.30,2051.13,-445.64
ORD-2022-1009,2022-02-04,West,California,Corporate,Second Class,Office Supplies,Binders,1,80.32,0.00,68.27,18.92
ORD-2022-1009,2022-02-04,West,California,,Second Class,Office Supplies,Binders,5,40.39,0.00,171.66,40.93
ORD-2022-1010,2022-02-08,West,Oregon,Corporate,Standard Class,Technology,Machines,1,1430.12,0.10,1094.04,-29.43
ORD-2022-1010,2022-02-08,West,Oregon,Corporate,Standard Class,Technology,Accessories,7,38.29,0.15,193.65,3.99
ORD-2022-1010,2022-02-08,West,Oregon,Corporate,Standard Class,Furniture,Bookcases,2,183.75,0.00,312.38,-19.82
ORD-2022-1011,2022-02-12,South,Florida,Consumer,Standard Class,Furniture,Furnishings,1,71.98,0.00,61.18,7.53
ORD-2022-1011,2022-02-12,South,Florida,Consumer,Standard Class,Office Supplies,Labels,5,6.06,0.00,25.75,8.61
ORD-2022-1011,2022-02-12,South,Florida,Consumer,Standard Class,Office Supplies,Storage,2,172.73,0.00,293.64,35.65
ORD-2022-1012,2022-02-16,West,Washington,Corporate,Standard Class,Furniture,Chairs,1,241.47,0.00,205.25,19.92
ORD-2022-1012,2022-02-16,West,Washington,Corporate,Standard Class,Technology,Machines,3,1284.59,0.10,2948.13,-167.93
ORD-2022-1012,2022-02-16,West,Washington,Corporate,Standard Class,Office Supplies,Labels,1,9.96,0.00,8.47,2.54
ORD-2022-1013,2022-02-20,East,Pennsylvania,Consumer,Second Class,Technology,Machines,3,1191.16,0.40,1822.47,-558.89
ORD-2022-1014,2022-02-24,South,Virginia,Corporate,First Class,Technology,Machines,4,995.38,0.00,3384.29,263.53
ORD-2022-1014,2022-02-24,South,Virginia,Corporate,First Class,Technology,Machines,1,265.36,0.15,191.72,-12.95
ORD-2022-1014,2022-02-24,South,Virginia,Corporate,First Class,Office Supplies,Paper,5,30.03,0.20,102.10,13.44
ORD-2022-1015,2022-02-28,East,Pennsylvania,Corporate,Second Class,Technology,Machines,4,426.43,0.00,1449.86,79.79
ORD-2022-1016,2022-03-04,West,Oregon,Corporate,Standard Class,Office Supplies,Binders,5,35.43,0.30,124.00,-0.65
ORD-2022-1016,2022-03-04,West,Oregon,Corporate,Standard Class,Office Supplies,Labels,5,24.67,0.00,123.35,42.31
ORD-2022-1017,2022-03-08,West,California,Consumer,Standard Class,Furniture,Furnishings,4,36.07,0.00,144.28,24.87
ORD-2022-1017,2022-03-08,West,California,Consumer,Standard Class,Technology,Phones,4,666.55,,2666.20,395.04
ORD-2022-1018,2022-03-12,South,Georgia,Corporate,Standard Class,Office Supplies,Storage,3,157.81,0.20,378.74,-50.65
ORD-2022-1018,2022-03-12,South,Georgia,Corporate,Standard Class,Technology,Phones,5,497.16,0.20,1988.64,-9.36
ORD-2022-1019,2022-03-16,West,Washington,Consumer,Standard Class,Office Supplies,Labels,4,20.53,0.00,82.12,29.06
ORD-2022-1020,2022-03-20,Central,Michigan,Consumer,Same Day,Furniture,Tables,1,739.13,0.30,517.39,-170.74
ORD-2022-1020,2022-03-20,Central,Michigan,Consumer,Same Day,Technology,Phones,7,400.65,0.20,2243.64,44.72
ORD-2022-1021,2022-03-24,East,New York,Home Office,Standard Class,Office Supplies,Labels,5,17.90,0.20,71.60,10.87
ORD-2022-1022,2022-03-28,West,Washington,Corporate,Second Class,Furniture,Furnishings,6,178.52,0.15,910.45,42.80
ORD-2022-1022,2022-03-28,West,Washington,Corporate,Second Class,Furniture,Chairs,7,129.09,0.00,903.63,67.25
ORD-2022-1023,2022-04-01,Central,Michigan,Corporate,First Class,Office Supplies,Binders,7,84.96,0.00,594.72,194.52
ORD-2022-1023,2022-04-01,Central,Michigan,Corporate,First Class,Furniture,Furnishings,2,178.53,0.00,357.06,64.08
ORD-2022-1023,2022-04-01,Central,Michigan,Corporate,First Class,Furniture,Bookcases,6,601.19,0.00,3607.14,-9.36
ORD-2022-1024,2022-04-05,South,Virginia,Consumer,Standard Class,Furniture,Tables,1,1004.73,0.00,1004.73,-38.07
ORD-2022-1024,2022-04-05,South,Virginia,Consumer,Standard Class,Office Supplies,Paper,2,21.26,0.00,42.52,14.27
ORD-2022-1024,2022-04-05,South,Virginia,Consumer,Standard Class,Technology,Copiers,7,2001.04,0.20,11205.82,505.67
ORD-2022-1025,2022-04-09,South,Florida,Home Office,Standard Class,Technology,Machines,7,1518.09,0.00,10626.63,26.17
ORD-2022-1025,2022-04-09,South,Florida,Home Office,Standard Class,Furniture,Tables,5,603.45,0.00,3017.25,-296.34
ORD-2022-1025,2022-04-09,South,Florida,Home Office,Standard Class,Office Supplies,Storage,7,185.94,0.00,1301.58,74.78
ORD-2022-1026,2022-04-13,West,California,Consumer,Standard Class,Technology,Machines,3,1449.12,0.15,3695.26,-178.84
ORD-2022-1026,2022-04-13,West,California,Consumer,Standard Class,Furniture,Tables,6,712.54,0.10,3847.72,-778.56
ORD-2022-1027,2022-04-17,West,California,Consumer,Standard Class,Furniture,Chairs,2,162.79,0.00,325.58,32.09
ORD-2022-1027,2022-04-17,West,California,Consumer,Standard Class,Furniture,Chairs,5,198.90,0.00,994.50,135.60
ORD-2022-1027,2022-04-17,West,California,Consumer,Standard Class,Technology,Phones,5,614.91,0.00,3074.55,508.04
ORD-2022-1028,2022-04-21,East,Massachusetts,Corporate,Standard Class,Office Supplies,Binders,6,64.23,0.00,385.38,127.10
ORD-2022-1029,2022-04-25,South,Florida,Consumer,Same Day,Furniture,Chairs,2,498.23,0.00,996.46,74.51
ORD-2022-1029,2022-04-25,South,Florida,Consumer,Same Day,Technology,Phones,4,583.26,0.15,1983.08,137.29
ORD-2022-1029,2022-04-25,South,Florida,Consumer,Same Day,Technology,Accessories,5,142.72,0.00,713.60,163.13
ORD-2022-1030,2022-04-29,East,Pennsylvania,Home Office,Same Day,Office Supplies,Art,3,44.17,0.00,132.51,27.82
ORD-2022-1030,2022-04-29,East,Pennsylvania,Home Office,Same Day,Technology,Copiers,1,304.59,0.00,304.59,75.10
ORD-2022-1031,2022-05-03,West,California,Consumer,Standard Class,Office Supplies,Paper,6,12.42,0.10,67.07,15.28
ORD-2022-1031,2022-05-03,West,California,Consumer,Standard Class,Furniture,Chairs,1,257.36,0.00,257.36,18.79
ORD-2022-1032,2022-05-07,East,Pennsylvania,Consumer,Second Class,Technology,Machines,2,1285.82,0.10,2314.48,-24.19
ORD-2022-1032,2022-05-07,East,Pennsylvania,Consumer,Second Class,Office Supplies,Labels,6,16.65,0.00,99.90,36.76
ORD-2022-1033,2022-05-11,East,New York,Corporate,Standard Class,Technology,Accessories,6,139.14,0.00,834.84,160.41
ORD-2022-1034,2022-05-15,West,Washington,Consumer,Standard Class,Office Supplies,Labels,1,13.12,0.00,13.12,4.88
ORD-2022-1034,2022-05-15,West,Washington,Consumer,Standard Class,Technology,Accessories,6,27.09,0.00,162.54,32.09
ORD-2022-1035,2022-05-19,East,New York,Consumer,Standard Class,Furniture,Bookcases,4,545.76,0.30,1528.13,-426.66
ORD-2022-1035,2022-05-19,East,New York,Consumer,Standard Class,Technology,Accessories,1,150.05,0.00,150.05,27.95
ORD-2022-1035,2022-05-19,East,New York,Consumer,Standard Class,Technology,Phones,7,303.53,0.00,2124.71,306.53
ORD-2022-1036,2022-05-23,West,Oregon,Home Office,Second Class,Furniture,Tables,2,732.47,0.00,1464.94,-138.79
ORD-2022-1036,2022-05-23,West,Oregon,Home Office,Second Class,Furniture,Bookcases,4,210.60,0.20,673.92,-131.07
ORD-2022-1036,2022-05-23,West,Oregon,Home Office,Second Class,Furniture,Furnishings,2,89.35,0.00,178.70,21.79
ORD-2022-1037,2022-05-27,Central,Illinois,Home Office,Standard Class,Office Supplies,Labels,6,22.72,0.00,136.32,46.71
ORD-2022-1037,2022-05-27,Central,Illinois,Home Office,Standard Class,Furniture,Bookcases,2,600.31,0.00,1200.62,-31.37
ORD-2022-1038,2022-05-31,East,Massachusetts,Consumer,Standard Class,Furniture,Chairs,6,184.93,0.15,943.14,-12.04
ORD-2022-1039,2022-06-04,West,California,Consumer,Standard Class,Technology,Copiers,4,1146.38,0.00,4585.52,875.15
ORD-2022-1039,2022-06-04,West,California,Consumer,Standard Class,Office Supplies,Storage,7,118.25,0.00,827.75,53.75
ORD-2022-1040,2022-06-08,East,New York,Corporate,Second Class,Furniture,Furnishings,3,20.76,0.20,49.82,-2.12
ORD-2022-1040,2022-06-08,East,New York,Corporate,Second Class,Furniture,Chairs,3,231.17,0.00,693.51,46.17
ORD-2022-1040,2022-06-08,East,New York,Corporate,Second Class,Office Supplies,Labels,4,4.36,0.00,17.44,6.24
ORD-2022-1041,2022-06-12,West,California,Consumer,Second Class,Technology,Copiers,6,1059.13,0.20,5083.82,447.66
ORD-2022-1041,2022-06-12,West,California,Consumer,Second Class,Office Supplies,Binders,6,64.69,0.20,310.51,37.26
ORD-2022-1042,2022-06-16,East,Massachusetts,Consumer,Standard Class,Office Supplies,Binders,1,58.43,0.30,40.90,-1.20
ORD-2022-1042,2022-06-16,East,Massachusetts,,Standard Class,Technology,Machines,1,883.51,0.10,795.16,-42.20
ORD-2022-1042,2022-06-16,East,Massachusetts,Consumer,Standard Class,Office Supplies,Art,5,37.55,0.15,159.59,16.32
ORD-2022-1043,2022-06-20,East,Pennsylvania,Consumer,Standard Class,Technology,Accessories,2,36.00,0.00,72.00,17.23
ORD-2022-1043,2022-06-20,East,Pennsylvania,Consumer,Standard Class,Office Supplies,Binders,6,31.42,0.00,188.52,59.80
ORD-2022-1043,2022-06-20,East,Pennsylvania,Consumer,Standard Class,Furniture,Furnishings,3,77.24,0.30,162.20,-14.93
ORD-2022-1044,2022-06-24,West,Oregon,Home Office,Standard Class,Technology,Machines,2,824.77,0.00,1649.54,105.80
ORD-2022-1044,2022-06-24,West,Oregon,Home Office,Standard Class,Furniture,Tables,5,1002.73,0.10,4512.28,-811.00
ORD-2022-1044,2022-06-24,West,Oregon,Home Office,Standard Class,Office Supplies,Binders,4,69.28,0.15,235.55,36.05
ORD-2022-1045,2022-06-28,East,Pennsylvania,Home Office,Standard Class,Office Supplies,Labels,6,38.13,0.15,194.46,37.62
ORD-2022-1045,2022-06-28,East,Pennsylvania,Home Office,Standard Class,Office Supplies,Paper,4,46.65,0.20,149.28,18.76
ORD-2022-1045,2022-06-28,East,Pennsylvania,Home Office,Standard Class,Technology,Copiers,5,422.11,0.10,1899.50,287.95
ORD-2022-1046,2022-07-02,Central,Illinois,Home Office,Standard Class,Office Supplies,Art,3,37.69,0.00,113.07,25.81
ORD-2022-1046,2022-07-02,Central,Illinois,Home Office,Standard Class,Technology,Machines,6,584.88,0.10,3158.35,-111.14
ORD-2022-1046,2022-07-02,Central,Illinois,Home Office,Standard Class,Technology,Machines,5,1507.32,0.10,6782.94,-488.54
ORD-2022-1047,2022-07-06,South,Florida,Consumer,Standard Class,Furniture,Bookcases,5,186.84,0.30,653.94,-218.95
ORD-2022-1047,2022-07-06,South,Florida,Consumer,Standard Class,Furniture,Furnishings,2,18.04,0.30,25.26,-4.30
ORD-2022-1047,2022-07-06,South,Florida,Consumer,Standard Class,Office Supplies,Art,4,45.69,0.10,164.48,29.77
